,0,1,2,3,4,5,6
0,0,0,Header,1,2,96,
1,1,0,Start_track,,,,
2,1,0,Tempo,923077,,,
3,1,0,Time_signature,4,2,24,8
4,1,0,End_track,,,,
5,2,0,Start_track,,,,
6,2,0,Title_t,"""MIDITrack #2 2""",,,
7,2,0,Note_on_c,1,50,80,
8,2,47,Note_off_c,1,50,0,
9,2,48,Note_on_c,1,54,80,
10,2,95,Note_off_c,1,54,0,
11,2,96,Note_on_c,1,57,80,
12,2,191,Note_off_c,1,57,0,
13,2,192,Note_on_c,1,52,80,
14,2,239,Note_off_c,1,52,0,
15,2,240,Note_on_c,1,56,80,
16,2,287,Note_off_c,1,56,0,
17,2,288,Note_on_c,1,59,80,
18,2,383,Note_off_c,1,59,0,
19,2,384,Note_on_c,1,54,80,
20,2,431,Note_off_c,1,54,0,
21,2,432,Note_on_c,1,57,80,
22,2,479,Note_off_c,1,57,0,
23,2,480,Note_on_c,1,64,80,
24,2,527,Note_off_c,1,64,0,
25,2,528,Note_on_c,1,61,80,
26,2,671,Note_off_c,1,61,0,
27,2,768,Note_on_c,1,50,80,
28,2,815,Note_off_c,1,50,0,
29,2,816,Note_on_c,1,54,80,
30,2,863,Note_off_c,1,54,0,
31,2,864,Note_on_c,1,57,80,
32,2,959,Note_off_c,1,57,0,
33,2,960,Note_on_c,1,52,80,
34,2,1007,Note_off_c,1,52,0,
35,2,1008,Note_on_c,1,56,80,
36,2,1055,Note_off_c,1,56,0,
37,2,1056,Note_on_c,1,59,80,
38,2,1151,Note_off_c,1,59,0,
39,2,1152,Note_on_c,1,57,80,
40,2,1199,Note_off_c,1,57,0,
41,2,1200,Note_on_c,1,61,80,
42,2,1247,Note_off_c,1,61,0,
43,2,1248,Note_on_c,1,64,80,
44,2,1295,Note_off_c,1,64,0,
45,2,1296,Note_on_c,1,69,80,
46,2,1343,Note_off_c,1,69,0,
47,2,1344,Note_on_c,1,56,80,
48,2,1391,Note_off_c,1,56,0,
49,2,1392,Note_on_c,1,59,80,
50,2,1439,Note_off_c,1,59,0,
51,2,1440,Note_on_c,1,64,80,
52,2,1487,Note_off_c,1,64,0,
53,2,1488,Note_on_c,1,68,80,
54,2,1535,Note_off_c,1,68,0,
55,2,1536,Note_on_c,1,50,80,
56,2,1583,Note_off_c,1,50,0,
57,2,1584,Note_on_c,1,54,80,
58,2,1631,Note_off_c,1,54,0,
59,2,1632,Note_on_c,1,57,80,
60,2,1727,Note_off_c,1,57,0,
61,2,1728,Note_on_c,1,52,80,
62,2,1775,Note_off_c,1,52,0,
63,2,1776,Note_on_c,1,56,80,
64,2,1823,Note_off_c,1,56,0,
65,2,1824,Note_on_c,1,59,80,
66,2,1919,Note_off_c,1,59,0,
67,2,1920,Note_on_c,1,54,80,
68,2,1967,Note_off_c,1,54,0,
69,2,1968,Note_on_c,1,57,80,
70,2,2015,Note_off_c,1,57,0,
71,2,2016,Note_on_c,1,64,80,
72,2,2063,Note_off_c,1,64,0,
73,2,2064,Note_on_c,1,61,80,
74,2,2207,Note_off_c,1,61,0,
75,2,2304,Note_on_c,1,50,80,
76,2,2351,Note_off_c,1,50,0,
77,2,2352,Note_on_c,1,54,80,
78,2,2399,Note_off_c,1,54,0,
79,2,2400,Note_on_c,1,57,80,
80,2,2495,Note_off_c,1,57,0,
81,2,2496,Note_on_c,1,52,80,
82,2,2543,Note_off_c,1,52,0,
83,2,2544,Note_on_c,1,47,80,
84,2,2591,Note_off_c,1,47,0,
85,2,2592,Note_on_c,1,44,80,
86,2,2639,Note_off_c,1,44,0,
87,2,2640,Note_on_c,1,52,80,
88,2,2687,Note_off_c,1,52,0,
89,2,2688,Note_on_c,1,50,80,
90,2,2735,Note_off_c,1,50,0,
91,2,2736,Note_on_c,1,57,80,
92,2,2783,Note_off_c,1,57,0,
93,2,2784,Note_on_c,1,61,80,
94,2,2784,Note_on_c,1,68,80,
95,2,2831,Note_off_c,1,61,0,
96,2,2831,Note_off_c,1,68,0,
97,2,2832,Note_on_c,1,69,80,
98,2,2975,Note_off_c,1,69,0,
99,2,3072,Note_on_c,1,42,80,
100,2,3119,Note_off_c,1,42,0,
101,2,3120,Note_on_c,1,49,80,
102,2,3167,Note_off_c,1,49,0,
103,2,3168,Note_on_c,1,54,80,
104,2,3168,Note_on_c,1,57,80,
105,2,3215,Note_off_c,1,54,0,
106,2,3215,Note_off_c,1,57,0,
107,2,3216,Note_on_c,1,56,80,
108,2,3311,Note_off_c,1,56,0,
109,2,3312,Note_on_c,1,54,80,
110,2,3407,Note_off_c,1,54,0,
111,2,3408,Note_on_c,1,49,80,
112,2,3455,Note_off_c,1,49,0,
113,2,3456,Note_on_c,1,50,80,
114,2,3503,Note_off_c,1,50,0,
115,2,3504,Note_on_c,1,57,80,
116,2,3551,Note_off_c,1,57,0,
117,2,3552,Note_on_c,1,66,80,
118,2,3599,Note_off_c,1,66,0,
119,2,3600,Note_on_c,1,64,80,
120,2,3695,Note_off_c,1,64,0,
121,2,3696,Note_on_c,1,62,80,
122,2,3743,Note_off_c,1,62,0,
123,2,3744,Note_on_c,1,54,80,
124,2,3791,Note_off_c,1,54,0,
125,2,3792,Note_on_c,1,50,80,
126,2,3839,Note_off_c,1,50,0,
127,2,3840,Note_on_c,1,52,80,
128,2,3887,Note_off_c,1,52,0,
129,2,3888,Note_on_c,1,56,80,
130,2,3935,Note_off_c,1,56,0,
131,2,3936,Note_on_c,1,59,80,
132,2,3983,Note_off_c,1,59,0,
133,2,3984,Note_on_c,1,64,80,
134,2,4031,Note_off_c,1,64,0,
135,2,4032,Note_on_c,1,59,80,
136,2,4079,Note_off_c,1,59,0,
137,2,4080,Note_on_c,1,56,80,
138,2,4127,Note_off_c,1,56,0,
139,2,4128,Note_on_c,1,52,80,
140,2,4175,Note_off_c,1,52,0,
141,2,4176,Note_on_c,1,47,80,
142,2,4223,Note_off_c,1,47,0,
143,2,4224,Note_on_c,1,45,80,
144,2,4271,Note_off_c,1,45,0,
145,2,4272,Note_on_c,1,52,80,
146,2,4319,Note_off_c,1,52,0,
147,2,4320,Note_on_c,1,57,80,
148,2,4367,Note_off_c,1,57,0,
149,2,4368,Note_on_c,1,61,80,
150,2,4415,Note_off_c,1,61,0,
151,2,4416,Note_on_c,1,52,80,
152,2,4463,Note_off_c,1,52,0,
153,2,4464,Note_on_c,1,59,80,
154,2,4511,Note_off_c,1,59,0,
155,2,4512,Note_on_c,1,64,80,
156,2,4559,Note_off_c,1,64,0,
157,2,4560,Note_on_c,1,68,80,
158,2,4607,Note_off_c,1,68,0,
159,2,4608,Note_on_c,1,54,80,
160,2,4655,Note_off_c,1,54,0,
161,2,4656,Note_on_c,1,61,80,
162,2,4703,Note_off_c,1,61,0,
163,2,4704,Note_on_c,1,57,80,
164,2,4751,Note_off_c,1,57,0,
165,2,4752,Note_on_c,1,54,80,
166,2,4847,Note_off_c,1,54,0,
167,2,4848,Note_on_c,1,61,80,
168,2,4895,Note_off_c,1,61,0,
169,2,4896,Note_on_c,1,54,80,
170,2,4943,Note_off_c,1,54,0,
171,2,4944,Note_on_c,1,49,80,
172,2,4991,Note_off_c,1,49,0,
173,2,4992,Note_on_c,1,50,80,
174,2,5039,Note_off_c,1,50,0,
175,2,5040,Note_on_c,1,57,80,
176,2,5087,Note_off_c,1,57,0,
177,2,5088,Note_on_c,1,66,80,
178,2,5135,Note_off_c,1,66,0,
179,2,5136,Note_on_c,1,64,80,
180,2,5231,Note_off_c,1,64,0,
181,2,5232,Note_on_c,1,62,80,
182,2,5279,Note_off_c,1,62,0,
183,2,5280,Note_on_c,1,54,80,
184,2,5327,Note_off_c,1,54,0,
185,2,5328,Note_on_c,1,50,80,
186,2,5375,Note_off_c,1,50,0,
187,2,5376,Note_on_c,1,52,80,
188,2,5423,Note_off_c,1,52,0,
189,2,5424,Note_on_c,1,44,80,
190,2,5471,Note_off_c,1,44,0,
191,2,5472,Note_on_c,1,47,80,
192,2,5519,Note_off_c,1,47,0,
193,2,5520,Note_on_c,1,52,80,
194,2,5567,Note_off_c,1,52,0,
195,2,5568,Note_on_c,1,59,80,
196,2,5615,Note_off_c,1,59,0,
197,2,5616,Note_on_c,1,56,80,
198,2,5663,Note_off_c,1,56,0,
199,2,5664,Note_on_c,1,52,80,
200,2,5711,Note_off_c,1,52,0,
201,2,5712,Note_on_c,1,47,80,
202,2,5759,Note_off_c,1,47,0,
203,2,5760,Note_on_c,1,42,80,
204,2,5807,Note_off_c,1,42,0,
205,2,5808,Note_on_c,1,54,80,
206,2,5855,Note_off_c,1,54,0,
207,2,5856,Note_on_c,1,57,80,
208,2,5903,Note_off_c,1,57,0,
209,2,5904,Note_on_c,1,56,80,
210,2,5999,Note_off_c,1,56,0,
211,2,6000,Note_on_c,1,52,80,
212,2,6143,Note_off_c,1,52,0,
213,2,6144,Note_on_c,1,42,80,
214,2,6191,Note_off_c,1,42,0,
215,2,6192,Note_on_c,1,54,80,
216,2,6239,Note_off_c,1,54,0,
217,2,6240,Note_on_c,1,57,80,
218,2,6287,Note_off_c,1,57,0,
219,2,6288,Note_on_c,1,56,80,
220,2,6431,Note_off_c,1,56,0,
221,2,6432,Note_on_c,1,61,80,
222,2,6527,Note_off_c,1,61,0,
223,2,6528,Note_on_c,1,50,80,
224,2,6575,Note_off_c,1,50,0,
225,2,6576,Note_on_c,1,54,80,
226,2,6623,Note_off_c,1,54,0,
227,2,6624,Note_on_c,1,62,80,
228,2,6719,Note_off_c,1,62,0,
229,2,6720,Note_on_c,1,52,80,
230,2,6767,Note_off_c,1,52,0,
231,2,6768,Note_on_c,1,56,80,
232,2,6815,Note_off_c,1,56,0,
233,2,6816,Note_on_c,1,64,80,
