,0,1,2,3,4,5,6
0,0,0,Header,1,2,96,
1,1,0,Start_track,,,,
2,1,0,Tempo,461538,,,
3,1,0,Time_signature,4,2,24,8
4,1,3072,Time_signature,4,2,24,8
5,1,3072,End_track,,,,
6,2,0,Start_track,,,,
7,2,0,Title_t,"""Channel #1 1""",,,
8,2,0,Note_on_c,0,64,80,
9,2,95,Note_off_c,0,64,0,
10,2,96,Note_on_c,0,66,80,
11,2,143,Note_off_c,0,66,0,
12,2,144,Note_on_c,0,61,80,
13,2,191,Note_off_c,0,61,0,
14,2,192,Note_on_c,0,69,80,
15,2,239,Note_off_c,0,69,0,
16,2,240,Note_on_c,0,66,80,
17,2,287,Note_off_c,0,66,0,
18,2,336,Note_on_c,0,64,80,
19,2,431,Note_off_c,0,64,0,
20,2,432,Note_on_c,0,66,80,
21,2,479,Note_off_c,0,66,0,
22,2,528,Note_on_c,0,61,80,
23,2,575,Note_off_c,0,61,0,
24,2,576,Note_on_c,0,64,80,
25,2,623,Note_off_c,0,64,0,
26,2,624,Note_on_c,0,61,80,
27,2,671,Note_off_c,0,61,0,
28,2,672,Note_on_c,0,66,80,
29,2,719,Note_off_c,0,66,0,
30,2,720,Note_on_c,0,61,80,
31,2,767,Note_off_c,0,61,0,
32,2,768,Note_on_c,0,69,80,
33,2,863,Note_off_c,0,69,0,
34,2,864,Note_on_c,0,66,80,
35,2,959,Note_off_c,0,66,0,
36,2,960,Note_on_c,0,64,80,
37,2,1007,Note_off_c,0,64,0,
38,2,1008,Note_on_c,0,66,80,
39,2,1055,Note_off_c,0,66,0,
40,2,1104,Note_on_c,0,69,80,
41,2,1199,Note_off_c,0,69,0,
42,2,1200,Note_on_c,0,71,80,
43,2,1247,Note_off_c,0,71,0,
44,2,1296,Note_on_c,0,64,80,
45,2,1319,Note_off_c,0,64,0,
46,2,1344,Note_on_c,0,66,80,
47,2,1391,Note_off_c,0,66,0,
48,2,1392,Note_on_c,0,69,80,
49,2,1439,Note_off_c,0,69,0,
50,2,1440,Note_on_c,0,71,80,
51,2,1487,Note_off_c,0,71,0,
52,2,1488,Note_on_c,0,73,80,
53,2,1501,Note_off_c,0,73,0,
54,2,1501,Note_on_c,0,74,80,
55,2,1535,Note_off_c,0,74,0,
56,2,1536,Note_on_c,0,73,80,
57,2,1583,Note_off_c,0,73,0,
58,2,1584,Note_on_c,0,69,80,
59,2,1631,Note_off_c,0,69,0,
60,2,1632,Note_on_c,0,66,80,
61,2,1679,Note_off_c,0,66,0,
62,2,1680,Note_on_c,0,64,80,
63,2,1727,Note_off_c,0,64,0,
64,2,1728,Note_on_c,0,66,80,
65,2,1775,Note_off_c,0,66,0,
66,2,1776,Note_on_c,0,69,80,
67,2,1823,Note_off_c,0,69,0,
68,2,1872,Note_on_c,0,73,80,
69,2,1967,Note_off_c,0,73,0,
70,2,1968,Note_on_c,0,71,80,
71,2,2015,Note_off_c,0,71,0,
72,2,2064,Note_on_c,0,69,80,
73,2,2159,Note_off_c,0,69,0,
74,2,2160,Note_on_c,0,66,80,
75,2,2207,Note_off_c,0,66,0,
76,2,2256,Note_on_c,0,76,80,
77,2,2267,Note_off_c,0,76,0,
78,2,2268,Note_on_c,0,77,80,
79,2,2279,Note_off_c,0,77,0,
80,2,2280,Note_on_c,0,78,80,
81,2,2543,Note_off_c,0,78,0,
82,2,2544,Note_on_c,0,76,80,
83,2,2591,Note_off_c,0,76,0,
84,2,2640,Note_on_c,0,73,80,
85,2,2783,Note_off_c,0,73,0,
86,2,2784,Note_on_c,0,73,67,
87,2,2879,Note_off_c,0,73,0,
88,2,2880,Note_on_c,0,73,58,
89,2,2975,Note_off_c,0,73,0,
90,2,2976,Note_on_c,0,73,49,
91,2,3071,Note_off_c,0,73,0,
92,2,3072,Note_on_c,0,64,80,
93,2,3167,Note_off_c,0,64,0,
94,2,3168,Note_on_c,0,66,80,
95,2,3215,Note_off_c,0,66,0,
96,2,3216,Note_on_c,0,61,80,
97,2,3263,Note_off_c,0,61,0,
98,2,3264,Note_on_c,0,69,80,
99,2,3311,Note_off_c,0,69,0,
100,2,3312,Note_on_c,0,66,80,
101,2,3359,Note_off_c,0,66,0,
102,2,3408,Note_on_c,0,64,80,
103,2,3503,Note_off_c,0,64,0,
104,2,3504,Note_on_c,0,66,80,
105,2,3551,Note_off_c,0,66,0,
106,2,3600,Note_on_c,0,61,80,
107,2,3647,Note_off_c,0,61,0,
108,2,3648,Note_on_c,0,64,80,
109,2,3695,Note_off_c,0,64,0,
110,2,3696,Note_on_c,0,61,80,
111,2,3743,Note_off_c,0,61,0,
112,2,3744,Note_on_c,0,66,80,
113,2,3791,Note_off_c,0,66,0,
114,2,3792,Note_on_c,0,61,80,
115,2,3839,Note_off_c,0,61,0,
116,2,3840,Note_on_c,0,69,80,
117,2,3935,Note_off_c,0,69,0,
118,2,3936,Note_on_c,0,66,80,
119,2,4031,Note_off_c,0,66,0,
120,2,4032,Note_on_c,0,64,80,
121,2,4079,Note_off_c,0,64,0,
122,2,4080,Note_on_c,0,66,80,
123,2,4127,Note_off_c,0,66,0,
124,2,4176,Note_on_c,0,69,80,
125,2,4271,Note_off_c,0,69,0,
126,2,4272,Note_on_c,0,71,80,
127,2,4319,Note_off_c,0,71,0,
128,2,4368,Note_on_c,0,64,80,
129,2,4391,Note_off_c,0,64,0,
130,2,4416,Note_on_c,0,66,80,
131,2,4463,Note_off_c,0,66,0,
132,2,4464,Note_on_c,0,69,80,
133,2,4511,Note_off_c,0,69,0,
134,2,4512,Note_on_c,0,71,80,
135,2,4559,Note_off_c,0,71,0,
136,2,4560,Note_on_c,0,73,80,
137,2,4573,Note_off_c,0,73,0,
138,2,4573,Note_on_c,0,74,80,
139,2,4607,Note_off_c,0,74,0,
140,2,4608,Note_on_c,0,73,80,
141,2,4655,Note_off_c,0,73,0,
142,2,4656,Note_on_c,0,69,80,
143,2,4703,Note_off_c,0,69,0,
144,2,4704,Note_on_c,0,66,80,
145,2,4751,Note_off_c,0,66,0,
146,2,4752,Note_on_c,0,64,80,
147,2,4799,Note_off_c,0,64,0,
148,2,4800,Note_on_c,0,66,80,
149,2,4847,Note_off_c,0,66,0,
150,2,4848,Note_on_c,0,69,80,
151,2,4895,Note_off_c,0,69,0,
152,2,4944,Note_on_c,0,73,80,
153,2,5039,Note_off_c,0,73,0,
154,2,5040,Note_on_c,0,71,80,
155,2,5087,Note_off_c,0,71,0,
156,2,5136,Note_on_c,0,69,80,
157,2,5231,Note_off_c,0,69,0,
158,2,5232,Note_on_c,0,66,80,
159,2,5279,Note_off_c,0,66,0,
160,2,5328,Note_on_c,0,76,80,
161,2,5339,Note_off_c,0,76,0,
162,2,5340,Note_on_c,0,77,80,
163,2,5351,Note_off_c,0,77,0,
164,2,5352,Note_on_c,0,78,80,
165,2,5615,Note_off_c,0,78,0,
166,2,5616,Note_on_c,0,76,80,
167,2,5663,Note_off_c,0,76,0,
168,2,5712,Note_on_c,0,73,80,
169,2,5855,Note_off_c,0,73,0,
170,2,5856,Note_on_c,0,73,67,
171,2,5951,Note_off_c,0,73,0,
172,2,5952,Note_on_c,0,73,58,
173,2,6047,Note_off_c,0,73,0,
174,2,6048,Note_on_c,0,73,49,
175,2,6143,Note_off_c,0,73,0,
176,2,6143,End_track,,,,
177,0,0,End_of_file,,,,
