,0,1,2,3,4,5,6
0,0,0,Header,1,2,96,
1,1,0,Start_track,,,,
2,1,0,Tempo,666667,,,
3,1,0,Time_signature,4,2,24,8
4,1,0,End_track,,,,
5,2,0,Start_track,,,,
6,2,0,Title_t,"""MIDITrack #2 2""",,,
7,2,0,Note_on_c,1,50,64,
8,2,383,Note_off_c,1,50,0,
9,2,384,Note_on_c,1,52,64,
10,2,767,Note_off_c,1,52,0,
11,2,768,Note_on_c,1,54,64,
12,2,1151,Note_off_c,1,54,0,
13,2,1152,Note_on_c,1,57,64,
14,2,1535,Note_off_c,1,57,0,
15,2,1536,Note_on_c,1,50,64,
16,2,1919,Note_off_c,1,50,0,
17,2,1920,Note_on_c,1,52,64,
18,2,2303,Note_off_c,1,52,0,
19,2,2304,Note_on_c,1,54,64,
20,2,2687,Note_off_c,1,54,0,
21,2,2688,Note_on_c,1,57,64,
22,2,3071,Note_off_c,1,57,0,
23,2,3072,Note_on_c,1,50,80,
24,2,3167,Note_off_c,1,50,0,
25,2,3168,Note_on_c,1,45,80,
26,2,3263,Note_off_c,1,45,0,
27,2,3264,Note_on_c,1,52,80,
28,2,3359,Note_off_c,1,52,0,
29,2,3360,Note_on_c,1,45,80,
30,2,3455,Note_off_c,1,45,0,
31,2,3456,Note_on_c,1,52,80,
32,2,3551,Note_off_c,1,52,0,
33,2,3552,Note_on_c,1,45,80,
34,2,3647,Note_off_c,1,45,0,
35,2,3648,Note_on_c,1,56,80,
36,2,3743,Note_off_c,1,56,0,
37,2,3744,Note_on_c,1,45,80,
38,2,3839,Note_off_c,1,45,0,
39,2,3840,Note_on_c,1,54,80,
40,2,3935,Note_off_c,1,54,0,
41,2,3936,Note_on_c,1,49,80,
42,2,4031,Note_off_c,1,49,0,
43,2,4032,Note_on_c,1,56,80,
44,2,4127,Note_off_c,1,56,0,
45,2,4128,Note_on_c,1,54,80,
46,2,4223,Note_off_c,1,54,0,
47,2,4224,Note_on_c,1,57,80,
48,2,4319,Note_off_c,1,57,0,
49,2,4320,Note_on_c,1,49,80,
50,2,4415,Note_off_c,1,49,0,
51,2,4416,Note_on_c,1,59,80,
52,2,4511,Note_off_c,1,59,0,
53,2,4512,Note_on_c,1,57,80,
54,2,4607,Note_off_c,1,57,0,
55,2,4608,Note_on_c,1,50,80,
56,2,4703,Note_off_c,1,50,0,
57,2,4704,Note_on_c,1,45,80,
58,2,4799,Note_off_c,1,45,0,
59,2,4800,Note_on_c,1,52,80,
60,2,4895,Note_off_c,1,52,0,
61,2,4896,Note_on_c,1,45,80,
62,2,4991,Note_off_c,1,45,0,
63,2,4992,Note_on_c,1,52,80,
64,2,5087,Note_off_c,1,52,0,
65,2,5088,Note_on_c,1,45,80,
66,2,5183,Note_off_c,1,45,0,
67,2,5184,Note_on_c,1,56,80,
68,2,5279,Note_off_c,1,56,0,
69,2,5280,Note_on_c,1,45,80,
70,2,5375,Note_off_c,1,45,0,
71,2,5376,Note_on_c,1,54,80,
72,2,5471,Note_off_c,1,54,0,
73,2,5472,Note_on_c,1,49,80,
74,2,5567,Note_off_c,1,49,0,
75,2,5568,Note_on_c,1,56,80,
76,2,5663,Note_off_c,1,56,0,
77,2,5664,Note_on_c,1,54,80,
78,2,5759,Note_off_c,1,54,0,
79,2,5760,Note_on_c,1,57,80,
80,2,5855,Note_off_c,1,57,0,
81,2,5856,Note_on_c,1,49,80,
82,2,5951,Note_off_c,1,49,0,
83,2,5952,Note_on_c,1,59,80,
84,2,6047,Note_off_c,1,59,0,
85,2,6048,Note_on_c,1,57,80,
86,2,6143,Note_off_c,1,57,0,
87,2,6144,Note_on_c,1,50,80,
88,2,6239,Note_off_c,1,50,0,
89,2,6240,Note_on_c,1,45,80,
90,2,6335,Note_off_c,1,45,0,
91,2,6336,Note_on_c,1,52,80,
92,2,6431,Note_off_c,1,52,0,
93,2,6432,Note_on_c,1,45,80,
94,2,6527,Note_off_c,1,45,0,
95,2,6528,Note_on_c,1,52,80,
96,2,6623,Note_off_c,1,52,0,
97,2,6624,Note_on_c,1,45,80,
98,2,6719,Note_off_c,1,45,0,
99,2,6720,Note_on_c,1,56,80,
100,2,6815,Note_off_c,1,56,0,
101,2,6816,Note_on_c,1,45,80,
102,2,6911,Note_off_c,1,45,0,
103,2,6912,Note_on_c,1,54,80,
104,2,7007,Note_off_c,1,54,0,
105,2,7008,Note_on_c,1,49,80,
106,2,7103,Note_off_c,1,49,0,
107,2,7104,Note_on_c,1,56,80,
108,2,7199,Note_off_c,1,56,0,
109,2,7200,Note_on_c,1,54,80,
110,2,7295,Note_off_c,1,54,0,
111,2,7296,Note_on_c,1,57,80,
112,2,7391,Note_off_c,1,57,0,
113,2,7392,Note_on_c,1,49,80,
114,2,7487,Note_off_c,1,49,0,
115,2,7488,Note_on_c,1,59,80,
116,2,7583,Note_off_c,1,59,0,
117,2,7584,Note_on_c,1,57,80,
118,2,7679,Note_off_c,1,57,0,
119,2,7680,Note_on_c,1,50,80,
120,2,7775,Note_off_c,1,50,0,
121,2,7776,Note_on_c,1,45,80,
122,2,7871,Note_off_c,1,45,0,
123,2,7872,Note_on_c,1,52,80,
124,2,7967,Note_off_c,1,52,0,
125,2,7968,Note_on_c,1,45,80,
126,2,8063,Note_off_c,1,45,0,
127,2,8064,Note_on_c,1,52,80,
128,2,8159,Note_off_c,1,52,0,
129,2,8160,Note_on_c,1,45,80,
130,2,8255,Note_off_c,1,45,0,
131,2,8256,Note_on_c,1,56,80,
132,2,8351,Note_off_c,1,56,0,
133,2,8352,Note_on_c,1,45,80,
134,2,8447,Note_off_c,1,45,0,
135,2,8448,Note_on_c,1,54,80,
136,2,8543,Note_off_c,1,54,0,
137,2,8544,Note_on_c,1,49,80,
138,2,8639,Note_off_c,1,49,0,
139,2,8640,Note_on_c,1,56,80,
140,2,8735,Note_off_c,1,56,0,
141,2,8736,Note_on_c,1,54,80,
142,2,8831,Note_off_c,1,54,0,
143,2,8832,Note_on_c,1,57,80,
144,2,8927,Note_off_c,1,57,0,
145,2,8928,Note_on_c,1,49,80,
146,2,9023,Note_off_c,1,49,0,
147,2,9024,Note_on_c,1,59,80,
148,2,9119,Note_off_c,1,59,0,
149,2,9120,Note_on_c,1,57,80,
150,2,9215,Note_off_c,1,57,0,
151,2,9216,Note_on_c,1,50,96,
152,2,9311,Note_off_c,1,50,0,
153,2,9312,Note_on_c,1,45,96,
154,2,9407,Note_off_c,1,45,0,
155,2,9408,Note_on_c,1,52,96,
156,2,9503,Note_off_c,1,52,0,
157,2,9504,Note_on_c,1,45,96,
158,2,9599,Note_off_c,1,45,0,
159,2,9600,Note_on_c,1,52,96,
160,2,9695,Note_off_c,1,52,0,
161,2,9696,Note_on_c,1,45,96,
162,2,9791,Note_off_c,1,45,0,
163,2,9792,Note_on_c,1,56,96,
164,2,9887,Note_off_c,1,56,0,
165,2,9888,Note_on_c,1,45,96,
166,2,9983,Note_off_c,1,45,0,
167,2,9984,Note_on_c,1,54,96,
168,2,10079,Note_off_c,1,54,0,
169,2,10080,Note_on_c,1,49,96,
170,2,10175,Note_off_c,1,49,0,
171,2,10176,Note_on_c,1,56,96,
172,2,10271,Note_off_c,1,56,0,
173,2,10272,Note_on_c,1,54,96,
174,2,10367,Note_off_c,1,54,0,
175,2,10368,Note_on_c,1,57,96,
176,2,10463,Note_off_c,1,57,0,
177,2,10464,Note_on_c,1,49,96,
178,2,10559,Note_off_c,1,49,0,
179,2,10560,Note_on_c,1,59,96,
180,2,10655,Note_off_c,1,59,0,
181,2,10656,Note_on_c,1,57,96,
182,2,10751,Note_off_c,1,57,0,
183,2,10752,Note_on_c,1,50,96,
184,2,10847,Note_off_c,1,50,0,
185,2,10848,Note_on_c,1,45,96,
186,2,10943,Note_off_c,1,45,0,
187,2,10944,Note_on_c,1,52,96,
188,2,11039,Note_off_c,1,52,0,
189,2,11040,Note_on_c,1,45,96,
190,2,11135,Note_off_c,1,45,0,
191,2,11136,Note_on_c,1,52,96,
192,2,11231,Note_off_c,1,52,0,
193,2,11232,Note_on_c,1,45,96,
194,2,11327,Note_off_c,1,45,0,
195,2,11328,Note_on_c,1,56,96,
196,2,11423,Note_off_c,1,56,0,
197,2,11424,Note_on_c,1,45,96,
198,2,11519,Note_off_c,1,45,0,
199,2,11520,Note_on_c,1,54,96,
200,2,11615,Note_off_c,1,54,0,
201,2,11616,Note_on_c,1,49,96,
202,2,11711,Note_off_c,1,49,0,
203,2,11712,Note_on_c,1,56,96,
204,2,11807,Note_off_c,1,56,0,
205,2,11808,Note_on_c,1,54,96,
206,2,11903,Note_off_c,1,54,0,
207,2,11904,Note_on_c,1,57,96,
208,2,11999,Note_off_c,1,57,0,
209,2,12000,Note_on_c,1,49,96,
210,2,12095,Note_off_c,1,49,0,
211,2,12096,Note_on_c,1,59,96,
212,2,12191,Note_off_c,1,59,0,
213,2,12192,Note_on_c,1,57,96,
214,2,12287,Note_off_c,1,57,0,
215,2,12288,Note_on_c,1,50,96,
216,2,12383,Note_off_c,1,50,0,
217,2,12384,Note_on_c,1,45,96,
218,2,12479,Note_off_c,1,45,0,
219,2,12480,Note_on_c,1,52,96,
220,2,12575,Note_off_c,1,52,0,
221,2,12576,Note_on_c,1,45,96,
222,2,12671,Note_off_c,1,45,0,
223,2,12672,Note_on_c,1,52,96,
224,2,12767,Note_off_c,1,52,0,
225,2,12768,Note_on_c,1,45,96,
226,2,12863,Note_off_c,1,45,0,
227,2,12864,Note_on_c,1,56,96,
228,2,12959,Note_off_c,1,56,0,
229,2,12960,Note_on_c,1,45,96,
230,2,13055,Note_off_c,1,45,0,
231,2,13056,Note_on_c,1,54,96,
232,2,13151,Note_off_c,1,54,0,
